time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1959-12-31T18:27:05.500Z,34.012,-118.6185,6,2.17,mh,4,236,0.3954,0.32,ci,ci3297285,2016-01-28T18:20:21.060Z,"3km SSE of Las Flores, CA",earthquake,3.31,31.61,0.045,9,reviewed,ci,ci
1959-12-29T20:59:08.070Z,33.8005,-118.614,6,2.94,ml,8,183,0.5058,0.46,ci,ci3297283,2016-01-28T18:01:47.650Z,"21km W of Palos Verdes Estates, CA",earthquake,1.87,31.61,0.344,10,reviewed,ci,ci
1959-12-27T13:58:53.410Z,33.807,-117.9573333,6,2.69,ml,5,159,0.3841,0.54,ci,ci3297281,2016-01-28T18:29:34.510Z,"3km N of Garden Grove, CA",earthquake,1.64,31.61,0.067,5,reviewed,ci,ci
1959-12-19T06:44:13.090Z,33.9816667,-117.7386667,0.15,2.98,ml,7,142,0.302,0.55,ci,ci3297279,2016-01-28T18:24:54.880Z,"2km SE of Chino Hills, CA",earthquake,2.46,3.43,0.126,11,reviewed,ci,ci
1959-12-18T12:20:31.810Z,33.9966667,-117.7181667,2.54,2.68,ml,7,147,0.2848,0.42,ci,ci3297278,2016-01-28T18:24:55.360Z,"3km WSW of Chino, CA",earthquake,2,2.36,0.23,7,reviewed,ci,ci
1959-12-18T03:28:08.850Z,33.9981667,-116.3756667,6,2.77,ml,4,274,0.7604,0.39,ci,ci3297277,2016-01-28T18:15:51.820Z,"12km ENE of Desert Hot Springs, CA",earthquake,2.41,31.61,0.226,5,reviewed,ci,ci
1959-12-17T03:37:26.120Z,34.0343333,-117.717,9.71,2.35,ml,6,147,0.2866,0.39,ci,ci3297276,2016-01-28T17:57:22.330Z,"4km NW of Chino, CA",earthquake,2,2.17,0.208,4,reviewed,ci,ci
1959-12-15T21:23:16.210Z,34.0531667,-116.9608333,7.49,3.26,ml,7,185,0.3495,0.36,ci,ci3297275,2016-01-28T18:20:20.550Z,"8km ENE of Yucaipa, CA",earthquake,1.82,3.17,0.134,9,reviewed,ci,ci
1959-12-09T04:57:16.710Z,33.5711667,-118.3318333,0.13,2.38,ml,5,228,0.1838,0.34,ci,ci3297271,2016-01-28T18:06:29.390Z,"19km SSW of San Pedro, CA",earthquake,2.09,2.98,0.017,4,reviewed,ci,ci
1959-12-09T00:33:34.000Z,33.6048333,-118.2848333,7.73,2.63,ml,5,211,0.164,0.49,ci,ci3297270,2016-01-28T18:06:28.920Z,"15km S of San Pedro, CA",earthquake,2.5,5.48,0.112,4,reviewed,ci,ci
1959-12-09T00:00:09.140Z,33.6435,-118.2786667,12.18,2.44,ml,5,200,0.1334,0.6,ci,ci3297269,2016-01-28T18:24:53.890Z,"10km S of San Pedro, CA",earthquake,4.43,6.81,0.101,4,reviewed,ci,ci
1959-12-08T23:58:52.250Z,33.6476667,-118.2845,0.13,2.48,ml,4,223,0.1272,0.72,ci,ci3297267,2016-01-28T18:15:51.320Z,"10km S of San Pedro, CA",earthquake,9.72,14.99,0.012,3,reviewed,ci,ci
1959-12-08T11:24:02.950Z,35.0426667,-119.0461667,6,3.3,ml,9,151,0.6763,0.8,ci,ci3297265,2016-01-28T18:01:46.630Z,"15km NW of Grapevine, CA",earthquake,1.98,31.61,0.077,11,reviewed,ci,ci
1959-12-07T01:14:39.240Z,33.237,-119.1321667,6,3.44,ml,7,235,1.212,0.52,ci,ci3297264,2016-01-28T18:24:53.370Z,"27km SSW of Santa Barbara Is., CA",earthquake,2.68,31.61,0.219,12,reviewed,ci,ci
1959-11-29T23:50:43.980Z,34.0466667,-116.8983333,6,3.1,ml,7,124,0.6919,0.49,ci,ci3297261,2016-01-28T18:01:46.130Z,"13km E of Yucaipa, CA",earthquake,1.08,31.61,0.037,3,reviewed,ci,ci
1959-11-29T23:42:14.080Z,34.0265,-116.9826667,6,2.94,mh,7,120,0.6786,0.3,ci,ci3297260,2016-01-28T18:20:20.050Z,"6km E of Yucaipa, CA",earthquake,0.92,31.61,0.142,11,reviewed,ci,ci
1959-11-25T23:49:15.200Z,33.3121667,-118.5093333,6,2.91,ml,6,208,0.4538,0.28,ci,ci3297259,2016-01-28T18:01:45.610Z,"17km WSW of Avalon, CA",earthquake,1.25,31.61,0.053,5,reviewed,ci,ci
1959-11-15T20:34:19.280Z,33.3895,-116.8916667,11.53,2.4,ml,3,267,0.04325,0.3,ci,ci3297251,2016-01-28T18:06:27.860Z,"4km NW of Palomar Observatory, CA",earthquake,4.21,0.85,,1,reviewed,ci,ci
1959-11-14T21:54:13.570Z,34.271,-117.8313333,6,2.01,mh,5,131,0.307,0.5,ci,ci3297249,2016-01-28T18:01:44.570Z,"15km NNE of Glendora, CA",earthquake,1.76,31.61,0.231,9,reviewed,ci,ci
1959-11-12T10:00:08.540Z,35.0391667,-119.0718333,2,2.84,ml,7,220,0.2188,0.44,ci,ci3297247,2016-01-28T18:24:52.350Z,"17km NW of Grapevine, CA",earthquake,2.56,31.61,0.121,11,reviewed,ci,ci
1959-10-21T12:42:29.990Z,35.1448333,-118.5386667,6,3.4,ml,11,101,,0.77,ci,ci3297233,2016-01-28T18:29:33.000Z,"8km W of Tehachapi, CA",earthquake,1.8,31.61,0.032,11,reviewed,ci,ci
1959-10-14T15:07:44.880Z,35.1308333,-118.6183333,6,2.6,ml,7,121,0.3471,0.44,ci,ci3297229,2016-01-28T18:15:50.380Z,"15km W of Tehachapi, CA",earthquake,1.09,31.61,0.15,8,reviewed,ci,ci
1959-10-11T09:42:28.270Z,33.9843333,-116.4378333,6,3.18,ml,6,156,0.72,0.58,ci,ci3297227,2016-01-28T18:11:07.010Z,"6km ENE of Desert Hot Springs, CA",earthquake,1.89,31.61,0.147,4,reviewed,ci,ci
