Latitude,Longitude,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
-109.0,92.0,17031742.11330888,14129556.442053113,22647407.81352849,14093125.366371857,25652782.092894755,26429529.29904195,38040081.068604745,48036430.83584993,82790871.36182037,42437676.57979405,46339387.43793969,52928016.198360234,45707369.39693183,78387360.42130671,90259111.26972006,172413707.26842386,87472000.035813,71715805.5785198,60215097.11871914,69644978.54375915,51741330.51685604,760221062.1887653,176780267.04780975,256328556.74195227,102730491.40903397,80123892.74551462,66744124.91320879,70200402.75148337,91514121.85004711,74170037.56515461,81648454.23786467,51028596.38961106,60522605.569780245,40791971.37017989,42039674.67516555,27102770.29177085,30201177.47905569,30898433.45601954,32616272.714142125,37211021.57350965,29304411.84886379,31582569.574373275,31080063.195871197,31601325.26662967,31514557.068288725,32124706.139702138,31941660.70218558,38325329.724188045,43003451.71914326,37505169.37542919,28677391.821104016,28104335.333276633,23732305.29631122
-109.0,82.80000000000052,17043575.982111424,14132101.771891313,22663653.322777733,14083250.70461052,25620785.537012503,26604579.197975803,38037331.83380012,47982610.95198315,85674265.04810122,42452328.10260846,46316068.02028623,52844699.373927094,45669250.56953706,78282510.56186964,90142670.69380504,172951018.29591602,87690573.81808981,71755534.22526109,60248085.530638166,69695352.05206376,51750288.83464251,759472162.0569284,176674539.7936547,256450252.15647322,102726419.14386661,78229046.68245369,66752523.38336241,70172461.36987478,91495031.95733385,74181998.88957848,81609388.10649736,51053399.975255124,60498508.18064303,40798098.80394818,41998948.40794458,27098337.25737737,30246311.633041356,30885763.839490004,32606373.686188173,37170983.216554776,29251949.516602445,31565040.448770467,31046433.181096494,31607882.004602093,31490500.46558057,32084105.885713737,31877171.7155978,38226686.54626123,42947545.47498911,37357552.8399959,28660988.83732056,28077297.799512133,23720686.90526345
-109.0,73.59999999999974,17056935.71309993,14135305.552653478,22680374.31228237,14074503.504455317,25590265.539717346,26461805.454195727,38041050.688144304,47929949.36737524,82668727.60454088,42288652.91278715,46292249.0108778,52763548.91726847,45631511.154362485,78185521.23858465,90027387.82811248,173747245.98822168,88009246.50953805,71889144.37375538,60380515.63809205,69760670.99313185,51798692.41002484,758668791.1393297,176559442.9439241,256571775.61611474,102707588.09997521,78167437.22778493,66766350.2309264,70157252.0098491,91486534.73519854,74192800.00073573,81545301.20490216,51051566.59003383,60473710.99699556,40801127.74000763,41960632.11946415,27106160.581474278,30319770.14621353,30884914.13922507,32604483.87624865,37145645.11028548,29207009.20392641,31549651.990129426,31018046.42359422,31615913.102325343,31473466.7096105,32033707.399958305,31813063.414908554,38148297.70737432,42921057.66790274,37279224.88471228,28643695.408598453,28054726.027097285,23710109.286383383
-109.0,64.40000000000026,17072524.40177615,14140793.657861205,22700478.671838593,14067369.97701131,25563610.397995405,26420827.03250762,38016029.32159686,47883398.50777982,82604025.40710817,42186988.74889555,46268790.23575883,52692029.88621807,45597938.859435536,78118615.84834696,89923475.62382701,174999767.80934227,88511680.12012482,72229028.374107,60620413.572312415,69854187.05209486,52243355.21656525,757892056.0337611,176441909.64630324,256700266.54011017,102703059.78665252,78168490.3392024,66791615.85595689,70156508.30588105,91556974.16788664,74177687.55524677,81485972.18339147,50999487.88337684,60447652.62175202,40799190.964470945,41930533.349749595,27162425.001632128,30426411.726450477,30906197.33346029,32614422.682527576,37123757.35397917,29170997.177324906,31540811.46663695,30991337.75362553,31622925.40285849,31486846.06790617,31995653.218613546,31757598.4184921,38093406.77000413,89609383.29530491,37305796.697529905,28628957.459210366,28042814.752362855,23705152.345457193
-109.0,55.19999999999948,17089951.88875518,14150326.335824378,22730214.68726279,14061480.223533113,25536231.145900175,26404015.94999165,37982379.48604446,47852127.29471156,82566126.26164053,42120968.99244567,46250418.781693086,52634750.15529322,45569451.57104703,78099296.8216384,89851957.99006169,177130524.81236312,89392033.0240392,72626567.93433748,60726678.068742946,70002071.91740376,51922531.10860355,757004533.2353383,176325059.5491141,256848244.0625773,102724985.33575308,78215567.18504204,66835440.7469716,70175847.44965537,91494295.47180669,74163074.50569122,81455736.33088292,50965688.06272145,60429854.76013248,40801414.138695545,41915958.92428957,27179307.867139872,30373358.832318965,30935491.629182857,32639266.209141582,37108730.34123317,29144329.812703043,31543756.003531747,30984989.42431726,31625832.724119656,31469631.93003039,31969723.51618721,31716020.204153076,37980308.976668544,42883558.31957046,37182067.51735939,28619092.899577443,28051402.897897087,23714936.010432728
-109.0,46.0,17108604.954664554,14171071.555966878,22785716.859580953,14060127.355755312,25501227.01900361,26547633.886485513,37967586.151388526,48012934.84680255,82573622.25591026,42084825.15065636,46247005.123724364,52597650.04994575,45552324.82566145,78150435.59179637,89884119.91783766,181309650.19455978,91223834.78240964,73441311.25110008,61339397.223593675,70288498.06014678,315010109.8161251,756174454.3040277,176220711.0149584,257039313.1836227,102841272.21417138,78347005.67467888,66923870.37847239,70237733.96379226,91460427.44169332,74227290.6461204,81418149.10827366,50925361.70183091,60505750.82368024,40813694.68086791,41923137.584511705,27354659.349997267,30308386.009720556,30937396.95104878,32691893.475662436,37164585.49827994,29129756.2673468,31573309.645336915,31084396.88168964,31632754.249390606,31469200.56674374,32016121.81341746,31704440.543248665,38014019.81168391,42996607.38381557,37112757.00287172,28622960.096496347,28124818.24495267,23940849.070580885
-109.0,36.80000000000052,17127906.67208542,14270694.029728753,22860624.20942144,14070343.49662963,25469257.17122719,26790306.936453544,37968397.53331843,47902941.29068166,82606723.73011008,42112901.320926405,46310556.715288125,52610984.60987433,45584250.50808637,78438657.94087583,90028168.90244147,192702520.30802375,98415971.24555714,77319764.8685091,63594778.82470349,71231059.33563346,52565073.62377158,755752249.8647747,176273756.43443328,257376507.42123425,103130858.2130715,119031903.88843924,67279873.64874683,70732003.33745845,91700381.08232032,74342957.48195678,81460460.03373493,50964918.00636107,60519197.93426442,40913584.47831026,41999857.49474317,27395913.59877501,30288468.483349502,31128710.130441234,32832366.853787385,37280277.89547546,29158485.88726758,31654598.20820889,31001677.340966232,31691586.403010894,31533427.28745058,31991983.649157844,31871322.323412668,37976710.36607036,43034796.00714506,37186325.844274245,28654570.70769647,28124452.641249336,23751431.974551246
-109.0,27.59999999999974,17147387.405546192,14332605.068974549,22856427.91940582,14092333.378680203,25447855.960170943,26442750.99713983,38010426.21876155,48175884.43976448,84215363.6993158,42060274.547375925,46478540.769522734,53089758.45226816,45756592.90360125,79547286.87429187,90871266.75685962,2078322195.3294232,3076788857.674774,3259258697.5691524,3878654092.0583234,291953467.7169826,82001618.28312694,785751209.4566671,176619099.57975057,271995472.49249566,114852743.69535421,81627504.1854282,91519705.3473048,588244142.5382421,94394710.15196691,75559365.61214618,82242842.06847462,51897981.81803818,62164004.57005414,41889625.9613949,61544771.26171572,27770146.348742824,30553237.987656336,78829607.5991084,33514598.487444423,449137704.7699147,29310542.883652963,55013749.613914646,31180924.785779677,39981541.440084234,31851588.907099437,32102947.44622476,33716488.313921966,47383757.4423995,47366879.298196204,37478571.77026459,66761794.36360347,28350897.889281362,23975076.1142685
-109.0,18.40000000000026,17166726.201910596,14231661.308535265,22829926.009351484,14191978.381175833,25442173.886838764,27487829.622037467,37963770.25624824,47846077.00694992,346878824.5643801,44876209.934927456,46363629.760313176,677433747.4127446,70784168.03005345,1135922137.884536,1034474281.7911592,17749915764.384647,7267407156.404834,2893068262.4415026,2250416572.3886433,4312561866.107894,76216109.86329833,1557951224.5595734,176262448.50420204,264083099.67616296,156959624.53933603,85077396.54515241,70495256.11512724,247939550.67735142,116482549.33412759,164967803.44843793,82593512.25588773,51069675.079325266,60583364.23796146,40889846.77293717,41843675.48978497,27859792.208796658,31055092.89889524,34199948.896340735,33077139.482665256,37414153.02669709,29102090.327179566,34954639.95705097,31378973.9507123,33049188.90003415,32123326.68904876,70811297.81709634,32996176.1673341,39177207.94303555,43999564.62327642,38056328.617213435,28642554.151487887,28116778.286045216,23999011.955980465
-109.0,9.199999999999477,17185806.52222229,14354777.471451532,22883191.591413293,14097394.987368887,25425002.980783857,26202317.726230897,37848991.28654013,47653980.16239243,82401268.34832397,41898743.346062094,46398954.838734135,52878844.312194996,45764924.10376193,78367780.11371717,90225727.41723841,287237092.88902,100981641.63005997,80011451.65075085,66518685.880225256,71919411.34408854,52851269.05025195,753489715.7373568,175865287.68717194,257898603.0963462,104211337.95497437,79195589.74850035,67494027.54853357,70373603.28964926,91619900.48383066,74533037.47575891,81551129.40676156,50980998.437657006,60363279.690997384,40672733.42542441,41769684.94011853,27093019.333033375,30203240.83696102,30945919.155337777,33160621.616685696,37040367.985220455,29079189.900510073,31961784.3572018,30922966.669565782,31659889.57898848,31550872.768256567,31934110.072491836,31608943.439225204,37682423.49398035,43055312.43919833,36869802.95468465,28508589.48675429,28104784.570565056,24584121.8488844
